Frame,Timestamp,Total Students,Focused Students,Focus %,Face 1 Emotion,Face 1 Focus,Face 2 Emotion,Face 2 Focus,Face 3 Emotion,Face 3 Focus
10,13:23:22,1,1,100.0,fear,Focused,,,,
20,13:23:22,1,1,100.0,fear,Focused,,,,
30,13:23:22,1,0,0.0,neutral,Distracted,,,,
40,13:23:22,1,1,100.0,fear,Focused,,,,
50,13:23:22,1,1,100.0,fear,Focused,,,,
60,13:23:22,1,1,100.0,fear,Focused,,,,
70,13:23:22,1,1,100.0,fear,Focused,,,,
80,13:23:22,1,1,100.0,fear,Focused,,,,
90,13:23:22,1,1,100.0,fear,Focused,,,,
100,13:23:23,1,1,100.0,fear,Focused,,,,
110,13:23:23,1,0,0.0,neutral,Distracted,,,,
120,13:23:23,1,1,100.0,fear,Focused,,,,
130,13:23:23,1,1,100.0,fear,Focused,,,,
140,13:23:23,1,1,100.0,fear,Focused,,,,
150,13:23:23,1,1,100.0,fear,Focused,,,,
160,13:23:23,1,1,100.0,fear,Focused,,,,
170,13:23:23,1,1,100.0,fear,Focused,,,,
180,13:23:23,1,1,100.0,fear,Focused,,,,
190,13:23:24,1,1,100.0,fear,Focused,,,,
200,13:23:24,1,1,100.0,fear,Focused,,,,
210,13:23:24,1,1,100.0,fear,Focused,,,,
220,13:23:24,1,0,0.0,happy,Distracted,,,,
230,13:23:24,1,1,100.0,fear,Focused,,,,
240,13:23:24,1,0,0.0,happy,Distracted,,,,
250,13:23:24,1,1,100.0,fear,Focused,,,,
260,13:23:24,1,0,0.0,sad,Distracted,,,,
270,13:23:24,1,1,100.0,fear,Focused,,,,
280,13:23:24,1,1,100.0,fear,Focused,,,,
290,13:23:25,1,1,100.0,fear,Focused,,,,
300,13:23:25,1,1,100.0,fear,Focused,,,,
310,13:23:25,1,1,100.0,fear,Focused,,,,
320,13:23:25,1,1,100.0,fear,Focused,,,,
330,13:23:25,1,1,100.0,fear,Focused,,,,
340,13:23:25,1,1,100.0,fear,Focused,,,,
350,13:23:25,1,1,100.0,fear,Focused,,,,
360,13:23:25,1,1,100.0,fear,Focused,,,,
370,13:23:25,1,0,0.0,fear,Distracted,,,,
380,13:23:25,1,1,100.0,fear,Focused,,,,
390,13:23:25,1,1,100.0,fear,Focused,,,,
400,13:23:26,1,1,100.0,fear,Focused,,,,
410,13:23:26,1,0,0.0,happy,Distracted,,,,
420,13:23:26,1,0,0.0,neutral,Distracted,,,,
430,13:23:26,1,0,0.0,happy,Distracted,,,,
440,13:23:26,1,1,100.0,fear,Focused,,,,
450,13:23:26,1,0,0.0,happy,Distracted,,,,
460,13:23:26,1,1,100.0,fear,Focused,,,,
470,13:23:26,1,1,100.0,fear,Focused,,,,
480,13:23:26,1,1,100.0,fear,Focused,,,,
490,13:23:26,1,0,0.0,sad,Distracted,,,,
500,13:23:27,1,0,0.0,sad,Distracted,,,,
510,13:23:27,1,0,0.0,neutral,Distracted,,,,
520,13:23:27,1,0,0.0,neutral,Distracted,,,,
530,13:23:27,1,1,100.0,fear,Focused,,,,
540,13:23:27,1,0,0.0,happy,Distracted,,,,
550,13:23:27,1,1,100.0,fear,Focused,,,,
560,13:23:27,1,0,0.0,sad,Distracted,,,,
570,13:23:27,1,0,0.0,sad,Distracted,,,,
580,13:23:27,1,1,100.0,fear,Focused,,,,
590,13:23:27,1,1,100.0,fear,Focused,,,,
600,13:23:28,1,1,100.0,fear,Focused,,,,
610,13:23:28,1,1,100.0,fear,Focused,,,,
620,13:23:28,1,1,100.0,fear,Focused,,,,
630,13:23:28,1,1,100.0,fear,Focused,,,,
640,13:23:28,1,1,100.0,fear,Focused,,,,
650,13:23:28,1,1,100.0,fear,Focused,,,,
660,13:23:28,1,1,100.0,fear,Focused,,,,
670,13:23:28,1,1,100.0,fear,Focused,,,,
680,13:23:28,1,1,100.0,fear,Focused,,,,
690,13:23:29,1,1,100.0,fear,Focused,,,,
700,13:23:29,1,1,100.0,fear,Focused,,,,
710,13:23:29,1,1,100.0,fear,Focused,,,,
720,13:23:29,1,1,100.0,fear,Focused,,,,
730,13:23:29,1,1,100.0,fear,Focused,,,,
740,13:23:29,1,1,100.0,fear,Focused,,,,
750,13:23:29,1,1,100.0,fear,Focused,,,,
760,13:23:29,1,1,100.0,fear,Focused,,,,
770,13:23:29,1,1,100.0,fear,Focused,,,,
780,13:23:30,1,0,0.0,fear,Distracted,,,,
790,13:23:30,1,0,0.0,fear,Distracted,,,,
800,13:23:30,1,0,0.0,happy,Distracted,,,,
810,13:23:30,1,1,100.0,fear,Focused,,,,
820,13:23:30,1,0,0.0,fear,Distracted,,,,
830,13:23:30,1,0,0.0,fear,Distracted,,,,
840,13:23:30,1,0,0.0,fear,Distracted,,,,
850,13:23:30,1,1,100.0,fear,Focused,,,,
860,13:23:30,1,0,0.0,fear,Distracted,,,,
870,13:23:30,1,1,100.0,fear,Focused,,,,
880,13:23:31,1,0,0.0,fear,Distracted,,,,
890,13:23:31,1,0,0.0,fear,Distracted,,,,
900,13:23:31,1,0,0.0,fear,Distracted,,,,
910,13:23:31,1,1,100.0,fear,Focused,,,,
920,13:23:31,1,0,0.0,fear,Distracted,,,,
930,13:23:31,1,0,0.0,happy,Distracted,,,,
940,13:23:31,1,1,100.0,fear,Focused,,,,
950,13:23:31,1,0,0.0,happy,Distracted,,,,
960,13:23:31,1,0,0.0,happy,Distracted,,,,
970,13:23:32,1,1,100.0,fear,Focused,,,,
980,13:23:32,1,1,100.0,fear,Focused,,,,
990,13:23:32,1,0,0.0,happy,Distracted,,,,
1000,13:23:32,1,0,0.0,happy,Distracted,,,,
1010,13:23:32,1,0,0.0,happy,Distracted,,,,
1020,13:23:32,1,0,0.0,happy,Distracted,,,,
1030,13:23:32,1,0,0.0,happy,Distracted,,,,
1040,13:23:32,1,0,0.0,happy,Distracted,,,,
1050,13:23:32,1,0,0.0,happy,Distracted,,,,
1060,13:23:33,1,0,0.0,happy,Distracted,,,,
1070,13:23:33,1,1,100.0,fear,Focused,,,,
1080,13:23:33,1,1,100.0,fear,Focused,,,,
1090,13:23:33,1,1,100.0,fear,Focused,,,,
1100,13:23:33,1,1,100.0,fear,Focused,,,,
1110,13:23:33,1,1,100.0,fear,Focused,,,,
1120,13:23:33,1,1,100.0,fear,Focused,,,,
1130,13:23:33,1,1,100.0,fear,Focused,,,,
1140,13:23:33,1,1,100.0,fear,Focused,,,,
1150,13:23:34,1,1,100.0,fear,Focused,,,,
1160,13:23:34,1,1,100.0,fear,Focused,,,,
1170,13:23:34,1,1,100.0,fear,Focused,,,,
1180,13:23:34,1,1,100.0,fear,Focused,,,,
1190,13:23:34,1,1,100.0,fear,Focused,,,,
1200,13:23:34,1,1,100.0,fear,Focused,,,,
1210,13:23:34,1,1,100.0,fear,Focused,,,,
1220,13:23:34,1,1,100.0,fear,Focused,,,,
1230,13:23:34,1,1,100.0,fear,Focused,,,,
1240,13:23:34,1,1,100.0,fear,Focused,,,,
1250,13:23:35,1,0,0.0,fear,Distracted,,,,
1260,13:23:35,1,1,100.0,fear,Focused,,,,
1270,13:23:35,1,0,0.0,fear,Distracted,,,,
1280,13:23:35,1,1,100.0,fear,Focused,,,,
1290,13:23:35,1,1,100.0,fear,Focused,,,,
1300,13:23:35,1,1,100.0,fear,Focused,,,,
1310,13:23:35,1,1,100.0,fear,Focused,,,,
1320,13:23:35,1,1,100.0,fear,Focused,,,,
1330,13:23:35,1,1,100.0,fear,Focused,,,,
1340,13:23:35,1,1,100.0,fear,Focused,,,,
1350,13:23:36,1,1,100.0,fear,Focused,,,,
1360,13:23:36,1,1,100.0,fear,Focused,,,,
1370,13:23:36,1,0,0.0,happy,Distracted,,,,
1380,13:23:36,1,0,0.0,happy,Distracted,,,,
1390,13:23:36,1,1,100.0,fear,Focused,,,,
1400,13:23:36,1,1,100.0,fear,Focused,,,,
1410,13:23:36,1,1,100.0,fear,Focused,,,,
1420,13:23:36,1,1,100.0,fear,Focused,,,,
1430,13:23:36,1,0,0.0,neutral,Distracted,,,,
1440,13:23:36,1,1,100.0,fear,Focused,,,,
1450,13:23:36,1,1,100.0,fear,Focused,,,,
1460,13:23:37,1,1,100.0,fear,Focused,,,,
1470,13:23:37,1,1,100.0,fear,Focused,,,,
1480,13:23:37,1,1,100.0,fear,Focused,,,,
1490,13:23:37,1,1,100.0,fear,Focused,,,,
1500,13:23:37,1,1,100.0,fear,Focused,,,,
1510,13:23:37,1,1,100.0,fear,Focused,,,,
1520,13:23:37,1,1,100.0,fear,Focused,,,,
1530,13:23:37,1,0,0.0,sad,Distracted,,,,
1540,13:23:37,1,1,100.0,fear,Focused,,,,
1550,13:23:38,1,1,100.0,fear,Focused,,,,
1560,13:23:38,1,1,100.0,fear,Focused,,,,
1570,13:23:38,1,1,100.0,fear,Focused,,,,
1580,13:23:38,1,1,100.0,fear,Focused,,,,
1590,13:23:38,2,0,0.0,fear,Distracted,happy,Distracted,,
1600,13:23:38,1,1,100.0,fear,Focused,,,,
1610,13:23:38,1,0,0.0,happy,Distracted,,,,
1620,13:23:38,1,0,0.0,happy,Distracted,,,,
1630,13:23:38,1,0,0.0,happy,Distracted,,,,
1640,13:23:38,1,1,100.0,fear,Focused,,,,
1650,13:23:39,1,1,100.0,fear,Focused,,,,
