Frame,Timestamp,Student ID,Emotion,Focus,Focus % (overall),Total Students
10,15:23:43,1,fear,Focused,100.0,1
20,15:23:43,1,fear,Focused,100.0,1
30,15:23:43,1,neutral,Distracted,0.0,1
40,15:23:43,1,fear,Focused,100.0,1
50,15:23:43,1,fear,Focused,100.0,1
60,15:23:43,1,fear,Focused,100.0,1
70,15:23:44,1,fear,Focused,100.0,1
80,15:23:44,1,fear,Focused,100.0,1
90,15:23:44,1,fear,Focused,100.0,1
100,15:23:44,1,fear,Focused,100.0,1
110,15:23:44,1,neutral,Distracted,0.0,1
120,15:23:44,1,fear,Focused,100.0,1
130,15:23:44,1,fear,Focused,100.0,1
140,15:23:44,1,fear,Focused,100.0,1
150,15:23:45,1,fear,Focused,100.0,1
160,15:23:45,1,fear,Focused,100.0,1
170,15:23:45,1,fear,Focused,100.0,1
180,15:23:45,1,fear,Focused,100.0,1
190,15:23:45,1,fear,Focused,100.0,1
200,15:23:45,1,fear,Focused,100.0,1
210,15:23:46,1,fear,Focused,100.0,1
220,15:23:46,1,happy,Distracted,0.0,1
230,15:23:46,1,fear,Focused,100.0,1
240,15:23:46,1,happy,Distracted,0.0,1
250,15:23:46,1,fear,Focused,100.0,1
260,15:23:46,1,sad,Distracted,0.0,1
270,15:23:47,1,fear,Focused,100.0,1
280,15:23:47,1,fear,Focused,100.0,1
290,15:23:47,1,fear,Focused,100.0,1
300,15:23:47,1,fear,Focused,100.0,1
310,15:23:47,1,fear,Focused,100.0,1
320,15:23:47,1,fear,Focused,100.0,1
330,15:23:48,1,fear,Focused,100.0,1
340,15:23:48,1,fear,Focused,100.0,1
350,15:23:48,1,fear,Focused,100.0,1
360,15:23:48,1,fear,Focused,100.0,1
370,15:23:48,1,fear,Distracted,0.0,1
380,15:23:49,1,fear,Focused,100.0,1
390,15:23:49,1,fear,Focused,100.0,1
400,15:23:49,1,fear,Focused,100.0,1
410,15:23:49,1,happy,Distracted,0.0,1
420,15:23:49,1,neutral,Distracted,0.0,1
430,15:23:49,1,happy,Distracted,0.0,1
440,15:23:49,1,fear,Focused,100.0,1
450,15:23:50,1,happy,Distracted,0.0,1
460,15:23:50,1,fear,Focused,100.0,1
470,15:23:50,1,fear,Focused,100.0,1
480,15:23:50,1,fear,Focused,100.0,1
490,15:23:50,1,sad,Distracted,0.0,1
500,15:23:51,1,sad,Distracted,0.0,1
510,15:23:51,1,neutral,Distracted,0.0,1
520,15:23:51,1,neutral,Distracted,0.0,1
530,15:23:51,1,fear,Focused,100.0,1
540,15:23:51,1,happy,Distracted,0.0,1
550,15:23:51,1,fear,Focused,100.0,1
560,15:23:52,1,sad,Distracted,0.0,1
570,15:23:52,1,sad,Distracted,0.0,1
580,15:23:52,1,fear,Focused,100.0,1
590,15:23:52,1,fear,Focused,100.0,1
600,15:23:52,1,fear,Focused,100.0,1
610,15:23:52,1,fear,Focused,100.0,1
620,15:23:53,1,fear,Focused,100.0,1
630,15:23:53,1,fear,Focused,100.0,1
640,15:23:53,1,fear,Focused,100.0,1
650,15:23:53,1,fear,Focused,100.0,1
660,15:23:53,1,fear,Focused,100.0,1
670,15:23:53,1,fear,Focused,100.0,1
680,15:23:54,1,fear,Focused,100.0,1
690,15:23:54,1,fear,Focused,100.0,1
700,15:23:54,1,fear,Focused,100.0,1
710,15:23:54,1,fear,Focused,100.0,1
720,15:23:54,1,fear,Focused,100.0,1
730,15:23:55,1,fear,Focused,100.0,1
740,15:23:55,1,fear,Focused,100.0,1
750,15:23:55,1,fear,Focused,100.0,1
760,15:23:55,1,fear,Focused,100.0,1
770,15:23:55,1,fear,Focused,100.0,1
780,15:23:56,1,fear,Distracted,0.0,1
790,15:23:56,1,fear,Distracted,0.0,1
800,15:23:56,1,happy,Distracted,0.0,1
810,15:23:56,1,fear,Focused,100.0,1
820,15:23:56,1,fear,Distracted,0.0,1
830,15:23:56,1,fear,Distracted,0.0,1
840,15:23:57,1,fear,Distracted,0.0,1
850,15:23:57,1,fear,Focused,100.0,1
860,15:23:57,1,fear,Distracted,0.0,1
870,15:23:57,1,fear,Focused,100.0,1
880,15:23:57,1,fear,Distracted,0.0,1
890,15:23:57,1,fear,Distracted,0.0,1
900,15:23:58,1,fear,Distracted,0.0,1
910,15:23:58,1,fear,Focused,100.0,1
920,15:23:58,1,fear,Distracted,0.0,1
930,15:23:58,1,happy,Distracted,0.0,1
940,15:23:58,1,fear,Focused,100.0,1
950,15:23:58,1,happy,Distracted,0.0,1
960,15:23:58,1,happy,Distracted,0.0,1
970,15:23:58,1,fear,Focused,100.0,1
980,15:23:59,1,fear,Focused,100.0,1
990,15:23:59,1,happy,Distracted,0.0,1
1000,15:23:59,1,happy,Distracted,0.0,1
1010,15:23:59,1,happy,Distracted,0.0,1
1020,15:23:59,1,happy,Distracted,0.0,1
1030,15:23:59,1,happy,Distracted,0.0,1
1040,15:23:59,1,happy,Distracted,0.0,1
1050,15:23:59,1,happy,Distracted,0.0,1
1060,15:23:59,1,happy,Distracted,0.0,1
1070,15:23:59,1,fear,Focused,100.0,1
1080,15:24:00,1,fear,Focused,100.0,1
1090,15:24:00,1,fear,Focused,100.0,1
1100,15:24:00,1,fear,Focused,100.0,1
1110,15:24:00,1,fear,Focused,100.0,1
1120,15:24:00,1,fear,Focused,100.0,1
1130,15:24:00,1,fear,Focused,100.0,1
1140,15:24:00,1,fear,Focused,100.0,1
1150,15:24:00,1,fear,Focused,100.0,1
1160,15:24:00,1,fear,Focused,100.0,1
1170,15:24:01,1,fear,Focused,100.0,1
1180,15:24:01,1,fear,Focused,100.0,1
1190,15:24:01,1,fear,Focused,100.0,1
1200,15:24:01,1,fear,Focused,100.0,1
1210,15:24:01,1,fear,Focused,100.0,1
1220,15:24:01,1,fear,Focused,100.0,1
1230,15:24:01,1,fear,Focused,100.0,1
1240,15:24:01,1,fear,Focused,100.0,1
1250,15:24:01,1,fear,Distracted,0.0,1
1260,15:24:01,1,fear,Focused,100.0,1
1270,15:24:02,1,fear,Distracted,0.0,1
1280,15:24:02,1,fear,Focused,100.0,1
1290,15:24:02,1,fear,Focused,100.0,1
1300,15:24:02,1,fear,Focused,100.0,1
1310,15:24:02,1,fear,Focused,100.0,1
1320,15:24:02,1,fear,Focused,100.0,1
1330,15:24:02,1,fear,Focused,100.0,1
1340,15:24:02,1,fear,Focused,100.0,1
1350,15:24:02,1,fear,Focused,100.0,1
1360,15:24:02,1,fear,Focused,100.0,1
1370,15:24:03,1,happy,Distracted,0.0,1
1380,15:24:03,1,happy,Distracted,0.0,1
1390,15:24:03,1,fear,Focused,100.0,1
1400,15:24:03,1,fear,Focused,100.0,1
1410,15:24:03,1,fear,Focused,100.0,1
1420,15:24:03,1,fear,Focused,100.0,1
1430,15:24:03,1,neutral,Distracted,0.0,1
1440,15:24:03,1,fear,Focused,100.0,1
1450,15:24:03,1,fear,Focused,100.0,1
1460,15:24:03,1,fear,Focused,100.0,1
1470,15:24:04,1,fear,Focused,100.0,1
1480,15:24:04,1,fear,Focused,100.0,1
1490,15:24:04,1,fear,Focused,100.0,1
1500,15:24:04,1,fear,Focused,100.0,1
1510,15:24:04,1,fear,Focused,100.0,1
1520,15:24:04,1,fear,Focused,100.0,1
1530,15:24:04,1,sad,Distracted,0.0,1
1540,15:24:04,1,fear,Focused,100.0,1
